,Gene ID,Gene name,Counts NP1,FPKM NP1,Counts NP2,FPKM NP2,Counts P1,FPKM P1,Counts P2,FPKM P2,Log2 FC,pvalue,padj,FPKM P1 CC,FPKM P2 CC,FPKM P1 GC,FPKM P2 GC
923,AT2G46494,ATL21B,0,0,0,0,12,0.3,7,0.22,6.45,0.000622421,0.001339322,0.3,0.22,0.3,0.22
6746,AT5G42200,ATL23,44,0.78,37,0.63,7,0.19,4,0.13,-2.11,0.007109854,0.012971975,0.19,0.13,0.396897541,0.271561475
5947,AT1G72310,ATL3,522,4.92,555,5.07,148,2.14,96,1.71,-1.37,1.86E-11,7.50E-11,2.14,1.71,2.14,1.71
1539,AT5G27420,ATL31,420,4.25,439,4.3,11585,179.36,9872,188.52,5.43,0,0,179.36,188.52,179.36,188.52
4321,AT4G40070,ATL32,63,0.72,52,0.57,93,1.62,88,1.89,1.44,5.06E-05,0.000124999,1.62,1.89,1.62,1.89
3816,AT2G37580,ATL33,37,0.57,80,1.2,118,2.8,125,3.66,1.86,4.85E-07,1.47E-06,2.8,3.66,2.8,3.66
7538,AT3G60220,ATL4,99,1.09,75,0.8,4,0.07,5,0.1,-3.48,3.39E-07,1.04E-06,0.07,0.1,0.07,0.1
2151,AT2G42350,ATL40,12,0.16,10,0.13,129,2.7,115,2.96,4.26,1.00E-21,6.08E-21,2.7,2.96,2.7,2.96
2405,AT2G42360,ATL41,34,0.48,47,0.65,355,7.75,294,7.91,3.79,1.16E-48,1.22E-47,7.75,7.91,7.75,7.91
3375,AT2G17450,ATL44,475,5.78,456,5.37,1410,26.26,1327,30.48,2.35,1.08E-83,1.69E-82,26.26,30.48,26.26,30.48
2386,AT4G35480,ATL45,178,2.97,264,4.26,2014,51.43,1600,50.4,3.81,1.73E-174,4.60E-173,51.43,50.4,51.43,50.4
7265,AT4G17905,ATL4H,24,0.32,30,0.39,1,0.02,3,0.08,-2.93,0.007986538,0.014445998,0.02,0.08,0.02,0.08
6139,AT3G62690,ATL5,196,2.53,210,2.63,44,0.87,39,0.95,-1.5,3.07E-06,8.63E-06,0.87,0.95,0.87,0.95
6197,AT3G03550,ATL51,656,7.12,749,7.87,161,2.68,120,2.46,-1.54,3.16E-17,1.64E-16,2.68,2.46,2.68,2.46
3252,AT2G18670,ATL56,88,1.34,93,1.37,347,8.09,254,7.3,2.51,9.28E-29,6.79E-28,8.09,7.3,8.09,7.3
8398,AT4G10160,ATL59,19,0.35,20,0.36,0,0,0,0,-5.94,0.000963074,0.002021291,0,0,0,0
3714,AT3G05200,ATL6,823,7.72,836,7.59,1994,28.65,1740,30.84,1.96,1.87E-88,3.04E-87,28.65,30.84,36.9661138,39.7917958
944,AT1G53820,ATL60,0,0,0,0,8,0.23,10,0.36,6.42,0.000693489,0.001482386,0.23,0.36,0.23,0.36
8152,AT5G58580,ATL63,105,1.2,134,1.49,3,0.05,1,0.02,-5.12,1.13E-09,4.15E-09,0.05,0.02,0.062016636,0.024806655
8404,AT2G47560,ATL64,42,0.74,66,1.12,0,0,1,0.03,-5.96,0.00011623,0.000275099,0,0.03,0,0.03
5029,AT3G18930,ATL65,132,0.88,149,0.96,173,1.76,164,2.06,1.05,2.65E-05,6.76E-05,1.76,2.06,1.76,2.06
8051,AT3G61550,ATL68,435,6.88,586,8.98,12,0.29,8,0.24,-4.89,2.02E-35,1.70E-34,0.29,0.24,0.29,0.24
7144,AT4G10150,ATL7,122,1.93,147,2.25,15,0.36,9,0.27,-2.71,1.54E-08,5.23E-08,0.36,0.27,0.36,0.27
2692,AT2G35910,ATL70,19,0.27,18,0.25,130,2.82,82,2.19,3.28,3.41E-15,1.64E-14,2.82,2.19,2.82,2.19
8604,AT3G10910,ATL72,283,4.53,286,4.43,0,0,3,0.09,-6.78,1.14E-14,5.37E-14,0,0.09,0,0.09
5470,AT5G01880,ATL74,554,7.24,498,6.3,140,2.8,140,3.46,-1.12,3.62E-08,1.20E-07,2.8,3.46,2.8,3.46
5257,AT1G49200,ATL75,476,8.96,541,9.86,157,4.53,132,4.7,-1.03,1.38E-07,4.37E-07,4.53,4.7,5.520146419,5.727304232
7588,AT3G18773,ATL77,153,1.9,175,2.1,14,0.27,2,0.05,-3.61,1.21E-11,4.94E-11,0.27,0.05,0.27,0.05
7522,AT5G47610,ATL79,1687,30.29,1990,34.58,119,3.27,77,2.61,-3.45,2.04E-99,3.64E-98,3.27,2.61,3.27,2.61
7200,AT1G76410,ATL8,65,1.17,73,1.27,3,0.08,8,0.27,-2.83,4.60E-05,0.000114158,0.08,0.27,0.171656936,0.579342157
2975,AT1G20823,ATL80,3412,60.17,3573,60.98,15844,427.92,13569,452.04,2.86,0,0,427.92,452.04,427.92,452.04
1278,AT1G32361,ATL81,0,0,0,0,7,0.16,5,0.14,5.8,0.005618702,0.010408401,0.16,0.14,0.16,0.14
2909,AT2G35000,ATL9,12,0.12,8,0.08,32,0.49,55,1.04,2.95,3.62E-06,1.01E-05,0.49,1.04,0.49,1.04
2437,AT1G75030,ATLP-3,13,0.2,12,0.18,120,2.78,76,2.17,3.74,6.05E-16,3.00E-15,2.78,2.17,2.78,2.17
1193,AT3G06230,ATMKK8,0,0,0,0,8,0.25,5,0.19,5.91,0.00406857,0.00772206,0.25,0.19,0.25,0.19
8741,AT4G21750,ATML1,3056,12.12,3064,11.76,5,0.03,11,0.08,-7.79,2.30E-96,4.01E-95,0.03,0.08,0.03,0.08
7885,AT2G07680,ATMRP11,974,3.55,1028,3.62,31,0.17,25,0.17,-4.38,5.07E-71,7.03E-70,0.17,0.17,0.17,0.17
366,AT4G21440,ATMYB102,276,3.51,297,3.65,46999,914.75,35827,860.12,7.95,0,0,914.75,860.12,914.75,860.12
2262,AT5G55020,ATMYB120,15,0.15,22,0.22,198,3.09,158,3.04,4.05,1.52E-29,1.13E-28,3.09,3.04,3.09,3.04
8703,AT5G15310,ATMYB16,1298,13.33,1376,13.68,4,0.06,5,0.1,-7.43,6.43E-50,6.88E-49,0.06,0.1,0.06,0.1
3133,AT2G47190,ATMYB2,31,0.4,37,0.46,158,3.14,95,2.33,2.66,1.22E-13,5.45E-13,3.14,2.33,3.14,2.33
7604,AT4G28110,AtMYB41,24,0.31,19,0.23,1,0.02,1,0.02,-3.64,0.008955831,0.016050109,0.02,0.02,0.02,0.02
7363,AT3G46130,ATMYB48,1653,21.45,1657,20.81,119,2.37,99,2.43,-3.14,1.81E-92,3.03E-91,2.37,2.43,2.37,2.43
3597,AT1G57560,AtMYB50,20,0.27,27,0.36,69,1.44,47,1.21,2.08,1.45E-05,3.80E-05,1.44,1.21,1.44,1.21
7548,AT1G79180,ATMYB63,14,0.17,24,0.28,2,0.04,0,0,-3.51,0.017508196,0.029724082,0.04,0,0.04,0
6154,AT3G11440,ATMYB65,102,0.72,107,0.73,28,0.3,15,0.2,-1.52,0.000849781,0.001798806,0.3,0.2,0.3,0.2
1159,AT4G33450,ATMYB69,0,0,0,0,5,0.11,8,0.21,5.97,0.003462613,0.00666656,0.11,0.21,0.11,0.21
727,AT4G05100,AtMYB74,396,5.33,470,6.13,35514,732.68,25554,650.29,6.91,0,0,732.68,650.29,732.68,650.29
1486,AT2G26960,AtMYB81,0,0,0,0,7,0.15,3,0.08,5.51,0.0134996,0.023416716,0.15,0.08,0.15,0.08
8193,AT1G34670,AtMYB93,11,0.14,13,0.16,0,0,0,0,-5.24,0.008621874,0.015498012,0,0,0,0
7519,AT4G00480,ATMYC1,17,0.14,22,0.18,0,0,2,0.03,-3.45,0.016552018,0.028250995,0,0.03,0,0.03
7479,AT3G63280,ATNEK4,67,0.52,74,0.55,4,0.05,4,0.06,-3.35,4.60E-06,1.27E-05,0.05,0.06,0.05,0.06
2164,AT1G10170,ATNFXL1,2156,8.9,2109,8.42,25827,163.23,20684,161.25,4.23,0,0,258.4202321,255.2855629,163.23,161.25
5266,AT5G47650,ATNUDT2,1589,16.59,1734,17.52,531,8.49,414,8.17,-1.03,7.25E-19,4.00E-18,11.39785943,10.96825813,8.49,8.17
3429,AT4G12720,AtNUDT7,1749,14.6,1716,13.87,5452,69.71,4298,67.79,2.27,9.93E-205,3.05E-203,69.71,67.79,69.71,67.79
194,AT5G47240,atnudt8,33,0.35,35,0.36,10575,173.4,8620,174.35,8.92,0,0,173.4,174.35,173.4,174.35
4898,AT1G07620,ATOBGM,993,7.94,978,7.57,1374,16.82,1109,16.75,1.11,6.19E-27,4.33E-26,16.82,16.75,16.82,16.75
5826,AT4G16370,ATOPT3,9355,61.51,10305,65.58,2681,27,1981,24.61,-1.3,9.12E-68,1.22E-66,27,24.61,27,24.61
3708,ATMG01190,ATP1,436,5.08,420,4.73,1101,19.63,848,18.65,1.97,4.41E-55,5.04E-54,19.63,18.65,19.63,18.65
4452,ATMG00410,ATP6-1,40,0.54,29,0.38,56,1.15,47,1.19,1.36,0.003509562,0.006750438,1.15,1.19,1.15,1.19
4043,ATCG00120,ATPA,704,8.19,693,7.81,1366,24.35,1196,26.3,1.66,2.41E-51,2.62E-50,24.35,26.3,24.35,26.3
1621,AT2G01180,ATPAP1,595,4.87,672,5.32,16988,212.8,12941,199.96,5.34,0,0,212.8,199.96,212.8,199.96
4429,ATCG00480,ATPB,134702,1596.27,121952,1398.78,197240,3579.9,186219,4169.02,1.37,9.60E-70,1.31E-68,3579.9,4169.02,3579.9,4169.02
360,AT1G03980,ATPCS2,1,0.01,2,0.02,256,4.1,188,3.71,7.99,4.41E-20,2.53E-19,4.1,3.71,4.1,3.71
4464,ATCG00470,ATPE,56775,2524.28,46316,1993.16,76882,5235.4,75254,6321.04,1.36,1.52E-10,5.86E-10,5235.4,6321.04,5235.4,6321.04
4184,ATCG00130,ATPF,431,13.78,366,11.32,640,31.33,698,42.15,1.55,4.17E-20,2.40E-19,31.33,42.15,31.33,42.15
4480,ATCG00140,ATPH,238,17.16,198,13.82,287,31.7,346,47.14,1.34,2.24E-09,8.07E-09,31.7,47.14,31.7,47.14
4949,ATCG00150,ATPI,633,14.97,463,10.6,618,22.39,716,32,1.09,4.48E-09,1.58E-08,22.39,32,22.39,32
2175,AT3G08720,ATPK2,468,3.48,470,3.38,5591,63.69,4454,62.59,4.2,0,0,63.69,62.59,63.69,62.59
8167,AT1G11580,ATPMEPCRA,1858,16.74,2116,18.45,39,0.54,25,0.43,-5.18,1.13E-125,2.40E-124,0.54,0.43,0.54,0.43
6745,AT5G53370,ATPMEPCRF,9041,76.45,9642,78.91,1381,17.88,1131,18.07,-2.11,2.66E-185,7.39E-184,17.88,18.07,17.88,18.07
6732,AT1G10155,ATPP2-A10,1615,12.1,1808,13.12,259,2.97,205,2.9,-2.1,2.21E-56,2.58E-55,5.050783624,4.931741586,2.97,2.9
4091,AT3G61060,AtPP2-A13,458,5.52,352,4.11,815,15.04,645,14.69,1.63,8.86E-26,6.00E-25,15.04,14.69,15.04,14.69
7812,AT4G19850,ATPP2-A2,33,0.65,28,0.53,1,0.03,1,0.04,-4.15,0.001461117,0.002988001,0.03,0.04,0.03,0.04
7761,AT1G31200,ATPP2-A9,52,1.74,60,1.94,2,0.1,2,0.13,-4.02,1.82E-05,4.73E-05,0.1,0.13,0.1,0.13
6096,AT1G01690,ATPRD3,50,0.48,56,0.52,10,0.15,12,0.22,-1.47,0.01874421,0.031667558,0.15,0.22,0.15,0.22
5134,AT3G26060,ATPRX Q,7114,99.14,8212,110.77,10442,222.87,7650,201.4,1.02,1.51E-41,1.42E-40,222.87,201.4,222.87,201.4
6229,AT3G47420,ATPS3,16704,105.83,16413,100.65,3505,34.01,2993,35.82,-1.56,1.68E-126,3.58E-125,34.01,35.82,34.01,35.82
3160,AT5G41160,ATPUP12,2,0.03,5,0.07,7,0.16,17,0.49,2.63,0.019496874,0.032802589,0.16,0.49,0.16,0.49
8118,AT1G47603,ATPUP19,10,0.13,11,0.13,0,0,0,0,-5.04,0.014348964,0.024780529,0,0,0,0
2461,AT4G30210,ATR2,9526,61.97,10013,63.05,83301,829.97,64743,795.68,3.7,0,0,829.97,795.68,829.97,795.68
2949,AT5G45130,ATRAB5A,2373,27.79,2274,25.77,10929,196,9131,201.99,2.89,0,0,196,201.99,196,201.99
8292,AT4G36570,ATRL3,32,0.7,49,1.03,0,0,1,0.04,-5.54,0.000476159,0.001041444,0,0,0,0.04
8764,AT1G75250,ATRL6,435,6.2,482,6.65,2,0.04,0,0,-8.06,1.29E-14,6.05E-14,0.175173377,0,0.04,0
2515,AT1G71390,AtRLP11,2,0.01,3,0.02,13,0.14,21,0.27,3.59,0.000684443,0.001465142,0.14,0.27,0.14,0.27
5717,AT1G74170,AtRLP13,587,2.82,546,2.54,184,1.35,101,0.92,-1.23,6.11E-09,2.14E-08,1.35,0.92,1.35,0.92
2196,AT1G74190,AtRLP15,1,0.01,1,0.01,12,0.11,9,0.1,4.17,0.004676248,0.008785578,0.11,0.1,0.11,0.1
6698,AT2G15080,AtRLP19,2135,10.12,2419,11.1,370,2.69,265,2.37,-2.06,1.25E-64,1.61E-63,2.69,2.37,2.69,2.37
3406,AT1G17240,AtRLP2,47,0.33,57,0.38,171,1.82,129,1.7,2.31,5.64E-14,2.57E-13,1.82,1.7,1.82,1.7
3404,AT2G25440,AtRLP20,52,0.46,69,0.59,205,2.76,145,2.41,2.31,2.11E-15,1.02E-14,2.76,2.41,2.76,2.41
551,AT2G32660,AtRLP22,2,0.01,2,0.01,212,2.22,164,2.11,7.33,1.66E-21,1.00E-20,2.22,2.11,2.22,2.11
5265,AT2G32680,AtRLP23,633,3.95,657,3.96,206,1.97,161,1.9,-1.03,2.52E-09,9.04E-09,1.97,1.9,1.97,1.9
7551,AT2G33050,AtRLP26,328,2.18,332,2.13,24,0.24,10,0.13,-3.51,1.59E-22,9.86E-22,0.24,0.13,0.24,0.13
8522,AT2G33060,AtRLP27,153,0.98,135,0.83,0,0,2,0.02,-6.38,5.00E-09,1.76E-08,0,0.02,0,0.02
6156,AT1G17250,AtRLP3,133,1.04,129,0.98,28,0.33,25,0.37,-1.52,0.000145909,0.00034113,0.33,0.37,0.33,0.37
3631,AT3G05370,AtRLP31,546,3.32,653,3.84,1597,14.85,1259,14.45,2.03,3.52E-72,4.94E-71,14.85,14.45,14.85,14.45
6788,AT3G05650,AtRLP32,649,2.98,751,3.34,96,0.68,85,0.74,-2.16,2.79E-27,1.97E-26,0.68,0.74,0.68,0.74
4387,AT3G05660,AtRLP33,144,0.8,141,0.76,239,2.04,197,2.07,1.4,9.37E-10,3.46E-09,2.04,2.07,2.04,2.07
5605,AT3G11010,AtRLP34,758,4.13,903,4.76,267,2.23,165,1.7,-1.17,2.21E-11,8.89E-11,2.23,1.7,2.23,1.7
2500,AT3G23010,AtRLP36,99,0.68,93,0.62,768,8.12,604,7.87,3.62,4.78E-94,8.14E-93,8.12,7.87,8.12,7.87
6798,AT3G23110,AtRLP37,806,5.7,864,5.92,127,1.38,89,1.19,-2.17,2.12E-32,1.68E-31,1.38,1.19,1.38,1.19
6363,AT3G23120,AtRLP38,264,1.95,266,1.9,58,0.66,39,0.55,-1.68,1.01E-08,3.48E-08,0.66,0.55,0.66,0.55
7775,AT3G24982,ATRLP40,161,0.73,177,0.77,9,0.06,3,0.03,-4.05,1.94E-13,8.63E-13,0.06,0.03,0.06,0.03
6291,AT3G25010,AtRLP41,219,1.35,285,1.7,50,0.47,45,0.52,-1.62,1.01E-07,3.21E-07,0.47,0.52,0.47,0.52
6364,AT3G25020,AtRLP42,187,1.06,179,0.98,32,0.28,34,0.37,-1.68,1.88E-06,5.39E-06,0.28,0.37,0.28,0.37
7671,AT3G49750,AtRLP44,50,0.72,65,0.9,5,0.11,0,0,-3.78,3.18E-05,8.04E-05,0.11,0,0.11,0
2068,AT4G13880,AtRLP48,0,0,1,0.01,10,0.11,3,0.04,4.43,0.029564845,0.047936012,0.11,0.04,0.11,0.04
1502,AT5G25910,AtRLP52,11,0.08,13,0.09,352,3.93,273,3.76,5.48,4.79E-52,5.26E-51,3.93,3.76,3.93,3.76
4181,AT5G40170,AtRLP54,1271,8.14,1447,8.97,2716,26.64,1937,23.44,1.55,8.17E-57,9.58E-56,26.64,23.44,26.64,23.44
7296,AT5G49290,ATRLP56,59,0.28,51,0.24,5,0.04,3,0.03,-3.01,0.000112836,0.000267567,0.04,0.03,0.04,0.03
7067,AT5G65830,ATRLP57,391,4.38,381,4.13,39,0.67,37,0.78,-2.56,3.58E-20,2.07E-19,0.67,0.78,0.67,0.78
4957,AT1G45616,AtRLP6,138,0.75,154,0.81,223,1.86,140,1.44,1.08,1.72E-05,4.46E-05,1.86,1.44,1.86,1.44
1423,AT1G47890,AtRLP7,14,0.08,10,0.05,405,3.51,279,2.99,5.6,1.68E-54,1.91E-53,3.51,2.99,3.51,2.99
6815,AT1G58190,AtRLP9,70,0.2,50,0.14,6,0.03,9,0.05,-2.2,0.001010935,0.002115621,0.03,0.05,0.03,0.05
532,AT5G19560,ATROPGEF10,0,0,0,0,15,0.17,20,0.29,7.39,1.26E-05,3.31E-05,0.17,0.29,0.17,0.29
7248,AT1G01700,ATROPGEF2,55,0.46,49,0.4,3,0.04,5,0.08,-2.9,0.000245908,0.000558136,0.04,0.08,0.04,0.08
2432,AT4G15417,ATRTL1,2,0.04,6,0.1,34,0.94,28,0.95,3.74,4.38E-06,1.21E-05,0.94,0.95,0.94,0.95
5152,AT1G32200,ATS1,2362,19.91,2446,19.95,3122,40.3,2506,39.9,1.01,5.70E-39,5.14E-38,40.3,39.9,40.3,39.9
5862,AT5G62200,ATS3B,409,6,385,5.47,93,2.09,91,2.52,-1.32,1.29E-08,4.39E-08,2.09,2.52,2.09,2.52
1766,AT4G18980,AtS40-3,6,0.1,5,0.08,105,2.72,115,3.67,5.12,5.04E-20,2.89E-19,2.72,3.67,2.72,3.67
3346,AT1G09180,ATSAR1,282,6.79,243,5.66,902,33.25,694,31.56,2.38,1.22E-58,1.47E-57,33.25,31.56,33.25,31.56
7570,AT4G21326,ATSBT3.12,848,4.72,906,4.88,46,0.39,40,0.42,-3.57,5.40E-58,6.44E-57,0.39,0.42,0.39,0.42
3847,AT3G08760,ATSIK,605,3.61,612,3.54,1413,12.92,1120,12.63,1.84,9.47E-63,1.20E-61,12.92,12.63,12.92,12.63
5848,AT1G26210,ATSOFL1,1302,21.53,1430,22.88,344,8.71,294,9.18,-1.31,1.38E-23,8.81E-23,8.71,9.18,8.71,9.18
5507,AT2G43550,ATTI6,172,11.3,186,11.83,40,4.03,53,6.58,-1.14,0.000886557,0.001871031,4.03,6.58,4.03,6.58
8641,AT1G45201,ATTLL1,4059,24.05,4158,23.85,26,0.24,11,0.12,-7.02,1.32E-167,3.37E-166,1.079988373,0.539994187,0.24,0.12
6109,AT5G11150,ATVAMP713,355,4.62,367,4.62,87,1.73,64,1.57,-1.48,1.24E-09,4.56E-09,1.73,1.57,2.259970835,2.050956191
2611,AT3G61740,ATX3,668,3.08,715,3.19,4821,34.02,3747,32.62,3.41,0,0,34.02,32.62,34.02,32.62
3694,AT1G26760,ATXR1,16,0.16,11,0.11,34,0.52,28,0.52,1.98,0.001981945,0.003972684,0.52,0.52,0.52,0.52
3890,AT5G09790,ATXR5,139,1.54,107,1.15,283,4.8,217,4.54,1.8,2.38E-14,1.10E-13,4.8,4.54,4.8,4.54
8356,AT1G74650,ATY13,75,0.71,112,1.02,2,0.03,0,0,-5.77,4.09E-07,1.25E-06,0.03,0,0.03,0
3178,AT2G45490,AUR3,17,0.25,13,0.18,52,1.17,53,1.47,2.6,9.91E-07,2.92E-06,1.17,1.47,1.17,1.47
8501,AT2G38120,AUX1,1846,11.51,1826,11.02,15,0.14,12,0.14,-6.31,3.20E-96,5.58E-95,0.14,0.14,0.14,0.14
7334,AT2G41190,AVT1A,2995,22.04,3084,21.96,234,2.64,184,2.56,-3.08,1.98E-151,4.76E-150,2.64,2.56,4.145853081,4.020221169
3638,AT5G02170,AVT1E,7,0.06,11,0.09,26,0.35,17,0.28,2.03,0.008904251,0.01596484,0.35,0.28,0.35,0.28
1150,AT3G09340,AVT1F,3,0.03,0,0,62,0.94,49,0.91,5.99,6.18E-10,2.31E-09,0.94,0.91,0.94,0.91
1367,AT5G16740,AVT1H,0,0,0,0,6,0.13,5,0.13,5.69,0.007878777,0.014264012,0.13,0.13,0.13,0.13
7681,AT3G28960,AVT1I,167,1.43,169,1.4,9,0.12,5,0.08,-3.81,2.67E-13,1.18E-12,0.12,0.08,0.12,0.08
1147,AT2G42005,AVT3B,0,0,0,0,4,0.06,9,0.17,5.99,0.003450316,0.006646626,0.06,0.17,0.06,0.17
4063,AT1G80510,AVT6E,250,2.17,241,2.03,510,6.78,390,6.4,1.65,1.76E-22,1.08E-21,6.78,6.4,6.78,6.4
4015,AT1G08200,AXS2,5855,56.27,6163,57.32,12814,188.6,9727,176.6,1.69,1.28E-155,3.13E-154,188.6,176.6,188.6,176.6
3315,AT5G67450,AZF1,72,0.9,107,1.3,302,5.8,254,6.02,2.42,1.62E-23,1.03E-22,5.8,6.02,5.8,6.02
3484,AT3G19580,AZF2,1484,18.89,1640,20.2,4667,90.96,3709,89.17,2.2,3.51E-177,9.40E-176,90.96,89.17,90.96,89.17
1565,AT5G50300,AZG2,0,0,1,0.01,16,0.2,9,0.14,5.41,0.002210079,0.004395375,0.2,0.14,0.2,0.14
8083,AT4G12470,AZI1,56,1.15,105,2.08,1,0.03,2,0.08,-4.95,6.50E-07,1.95E-06,0.03,0.08,0.03,0.08
7930,AT1G54450,B''DELTA,70,0.56,88,0.68,2,0.02,2,0.03,-4.52,3.48E-07,1.07E-06,0.02,0.03,0.02,0.03
5291,AT3G26030,B'DELTA,2878,20.22,3035,20.64,940,10.11,724,9.61,-1.05,3.33E-29,2.46E-28,10.11,9.61,10.11,9.61
5253,AT5G25510,B'KAPPA,1082,8.9,1087,8.65,339,4.27,279,4.33,-1.03,7.36E-14,3.33E-13,4.27,4.33,4.27,4.33
4666,AT3G21650,B'ZETA,500,3.59,481,3.34,752,8.26,586,7.94,1.23,1.72E-19,9.72E-19,8.26,7.94,8.26,7.94
503,AT4G21390,B120,94,0.54,114,0.63,11803,104.02,9441,102.63,7.46,0,0,104.02,102.63,104.02,102.63
4295,AT1G11730,B3GALT1,22,0.23,20,0.2,36,0.58,31,0.61,1.46,0.010802025,0.019081665,0.58,0.61,0.58,0.61
5950,AT1G05170,B3GALT2,3411,25.66,3581,26.08,921,10.61,657,9.34,-1.37,2.46E-46,2.52E-45,10.61,9.34,10.61,9.34
6838,AT2G32430,B3GALT3,288,2.61,377,3.3,51,0.71,32,0.55,-2.23,4.74E-14,2.17E-13,0.71,0.55,0.978059389,0.757651639
5058,AT1G12060,BAG5,141,2.49,205,3.5,212,5.73,199,6.64,1.04,2.04E-05,5.27E-05,5.73,6.64,5.73,6.64
2820,AT2G46240,BAG6,151,0.71,143,0.65,769,5.52,658,5.83,3.06,1.21E-80,1.84E-79,5.52,5.83,5.52,5.83
3993,AT1G02860,BAH1,683,7.83,650,7.21,1352,23.75,1165,25.24,1.7,2.81E-52,3.10E-51,23.75,25.24,23.75,25.24
1368,AT5G47980,BAHD1,0,0,0,0,6,0.1,5,0.1,5.69,0.007878777,0.014264012,0.1,0.1,0.1,0.1
3604,AT4G33430,BAK1,1399,8.63,1398,8.35,3638,34.37,3154,36.75,2.07,2.03E-139,4.62E-138,34.37,36.75,34.37,36.75
2141,AT3G23920,BAM1,11978,84.35,12886,87.84,154973,1671.57,125575,1670.73,4.28,0,0,1671.57,1670.73,1671.57,1670.73
7799,AT4G20270,BAM3,594,3.08,648,3.26,30,0.24,12,0.12,-4.12,4.76E-43,4.61E-42,0.24,0.12,0.24,0.12
3981,AT5G55700,BAM4,574,5.04,578,4.92,1189,16,1005,16.68,1.71,6.48E-50,6.94E-49,16,16.68,16,16.68
2525,AT4G15210,BAM5,10,0.07,14,0.09,91,0.94,75,0.95,3.57,1.20E-13,5.38E-13,0.94,0.95,0.94,0.95
5660,AT5G18670,BAM9,25451,227,27278,235.48,7841,107.11,5608,94.49,-1.2,2.54E-67,3.39E-66,107.11,94.49,107.11,94.49
520,AT1G61720,BAN,0,0,0,0,25,0.48,12,0.28,7.4,1.21E-05,3.18E-05,0.48,0.28,0.48,0.28
842,AT3G61190,BAP1,71,0.9,55,0.67,4049,78.58,3320,79.48,6.65,0,0,78.58,79.48,78.58,79.48
427,AT2G45760,BAP2,9,0.18,16,0.31,1654,50.38,1390,52.23,7.71,2.47E-138,5.59E-137,61.01285949,63.25330788,50.38,52.23
5165,AT3G11630,BAS1,13557,204.51,14610,213.32,19141,442.24,13910,396.42,1.01,2.92E-51,3.17E-50,442.24,396.42,442.24,396.42
8047,AT4G12030,BASS5,1623,13.03,1841,14.31,29,0.36,39,0.59,-4.88,4.09E-111,7.92E-110,0.36,0.59,0.36,0.59
3991,AT3G19910,BBR,1248,12.78,1361,13.48,2674,41.92,2258,43.67,1.7,3.98E-85,6.30E-84,41.92,43.67,41.92,43.67
6873,AT1G75540,BBX21,632,7.14,761,8.32,98,1.69,70,1.49,-2.27,4.31E-28,3.11E-27,1.69,1.49,2.385321308,2.103034763
4870,AT3G01500,BCA1,128408,697.48,145841,766.74,196508,1634.79,152217,1561.99,1.13,2.55E-76,3.71E-75,1634.79,1561.99,1634.79,1561.99
5175,AT5G14740,BCA2,80830,463.3,85003,471.58,107703,945.51,85486,925.69,1,1.37E-83,2.14E-82,945.51,925.69,945.51,925.69
7779,AT1G23730,BCA3,567,6.1,628,6.54,25,0.41,17,0.35,-4.05,5.51E-43,5.33E-42,0.534378991,0.456177187,0.41,0.35
5051,AT1G70410,BCA4,11539,84.31,12062,85.3,15639,175.01,12679,175.01,1.05,2.01E-76,2.93E-75,175.01,175.01,175.01,175.01
6183,AT1G58180,BCA6,1954,17.53,1759,15.28,428,5.88,320,5.42,-1.53,3.44E-34,2.83E-33,5.88,5.42,5.88,5.42
7514,AT1G10070,BCAT2,49,0.5,60,0.59,5,0.08,1,0.02,-3.43,6.38E-05,0.000155977,0.08,0.02,0.08,0.02
8294,AT3G19710,BCAT4,6342,77.54,6248,73.94,81,1.52,75,1.73,-5.55,0,0,1.52,1.73,1.52,1.73
642,AT5G20230,BCB,720,10.72,714,10.29,63219,1441.02,52883,1486.86,7.12,0,0,1441.02,1486.86,1441.02,1486.86
7436,AT5G15530,BCCP2,24,0.27,42,0.46,3,0.05,1,0.02,-3.28,0.002207287,0.004390188,0.05,0.02,0.05,0.02
8785,AT1G64670,BDG1,828,7.91,907,8.39,2,0.03,1,0.02,-8.39,5.35E-23,3.35E-22,0.03,0.02,0.03,0.02
8776,AT5G41900,BDG2,1530,14.71,1623,15.1,2,0.03,4,0.07,-8.25,1.12E-42,1.08E-41,0.03,0.07,0.03,0.07
8731,AT4G24140,BDG3,78,0.72,56,0.5,0,0,0,0,-7.72,7.16E-07,2.14E-06,0,0,0,0
5056,AT1G18400,BEE1,1039,11.96,1145,12.76,1449,25.55,1169,25.42,1.04,1.10E-24,7.21E-24,25.55,25.42,25.55,25.42
4139,AT1G73830,BEE3,159,2.53,165,2.54,333,8.12,235,7.07,1.58,4.60E-14,2.10E-13,8.12,7.07,8.12,7.07
3626,AT4G18890,BEH3,158,1.37,184,1.54,468,6.22,351,5.75,2.04,8.16E-28,5.85E-27,6.22,5.75,6.22,5.75
5371,AT5G41410,BEL1,1687,11.37,1779,11.61,545,5.63,409,5.21,-1.08,6.17E-21,3.64E-20,5.63,5.21,5.63,5.21
7964,AT2G45400,BEN1,245,2.48,238,2.33,2,0.03,9,0.17,-4.65,3.31E-18,1.78E-17,0.03,0.17,0.03,0.17
5315,AT1G62660,BFRUCT3,1369,6.58,1386,6.44,423,3.11,346,3.14,-1.06,1.94E-17,1.02E-16,3.11,3.14,3.11,3.14
